Id,Componente,Marca,Modelo,Precio,Cantidad en Stock,F. de Lanzamiento
1,Procesador,Intel,Core i9,500,50,2021-03-30
2,Tarjeta Gráfica,NVIDIA,RTX 3080,700,30,2020-09-17
3,Memoria RAM,Corsair,Vengeance LPX,80,100,2019-06-20
4,Disco Duro,Seagate,Barracuda,60,150,2018-01-05
5,Fuente de Alimentación,Corsair,RM850x,120,40,2021-07-15
6,Placa Base,ASUS,ROG Strix,200,60,2020-05-10
7,Refrigeración Líquida,Cooler Master,ML240L,100,20,2019-08-12
8,Caja,NZXT,H510,90,70,2021-02-22
9,SSD,Samsung,860 EVO,150,90,2020-11-01
10,Monitor,Dell,UltraSharp,300,25,2019-09-05
